CustomerID,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,ModifiedDate
48,Ms.,Anita,R.,Lucerne,NULL,Grand Industries,adventure-works\garrett1,anita0@adventure-works.com,164-555-0118,01-09-2007
52,Ms.,Rebecca,NULL,Laszlo,NULL,Instruments and Parts Company,adventure-works\jae0,rebecca2@adventure-works.com,1 (11) 500 555-0155,01-09-2007
55,Mr.,Eric,NULL,Lang,NULL,Kickstands and Accessories Company,adventure-works\pamela0,eric6@adventure-works.com,932-555-0163,01-09-2007
56,Mr.,Brian,NULL,Groth,NULL,Latest Accessories Sales,adventure-works\david8,brian5@adventure-works.com,461-555-0118,01-08-2006
57,Ms.,Judy,R.,Lundahl,NULL,Leading Sales & Repair,adventure-works\jillian0,judy1@adventure-works.com,260-555-0130,01-09-2005
58,Mr.,Peter,NULL,Kurniawan,NULL,Largest Bike Store,adventure-works\jillian0,peter4@adventure-works.com,436-555-0160,01-11-2005
59,Mr.,Douglas,NULL,Groncki,NULL,Locks Company,adventure-works\shu0,douglas2@adventure-works.com,385-555-0140,01-09-2007
60,Mr.,Sean,J.,Lunt,NULL,Main Bicycle Services,adventure-works\linda3,sean4@adventure-works.com,183-555-0111,01-09-2007
61,Mr.,Jeffrey,NULL,Kurtz,NULL,Many Bikes Store,adventure-works\shu0,jeffrey3@adventure-works.com,452-555-0179,01-09-2006
64,Mr.,Vamsi,NULL,Kuppa,NULL,Metal Clearing House,adventure-works\josé1,vamsi1@adventure-works.com,290-555-0196,01-08-2007
65,Ms.,Jane,P.,Greer,NULL,Metro Manufacturing,adventure-works\josé1,jane2@adventure-works.com,737-555-0163,01-08-2006
66,Mr.,Alexander,J.,Deborde,NULL,Neighborhood Store,adventure-works\garrett1,alexander1@adventure-works.com,394-555-0176,01-08-2006
70,Mr.,Deepak,NULL,Kumar,NULL,Outdoor Aerobic Systems Company,adventure-works\jae0,deepak0@adventure-works.com,1 (11) 500 555-0122,01-08-2007
73,Ms.,Margaret,T.,Krupka,NULL,Outdoor Sports Supply,adventure-works\pamela0,margaret1@adventure-works.com,107-555-0132,01-08-2005
74,Mr.,Christopher,M.,Bright,NULL,Parcel Express Delivery Service,adventure-works\david8,christopher2@adventure-works.com,162-555-0166,01-11-2005
75,Ms.,Aidan,NULL,Delaney,NULL,Paint Supply,adventure-works\jillian0,aidan0@adventure-works.com,358-555-0188,01-09-2005
76,Mr.,James,J.,Krow,NULL,Out-of-the-Way Hotels,adventure-works\jillian0,james11@adventure-works.com,265-555-0190,01-09-2005
77,Mr.,Michael,NULL,Brundage,NULL,Mechanical Products Ltd.,adventure-works\shu0,michael13@adventure-works.com,128-555-0148,01-08-2006
78,Mr.,Stefan,NULL,Delmarco,NULL,Preferred Bikes,adventure-works\linda3,stefan0@adventure-works.com,819-555-0186,01-08-2005
79,Mr.,Mitch,NULL,Kennedy,NULL,Reasonable Bicycle Sales,adventure-works\shu0,mitch0@adventure-works.com,996-555-0192,01-08-2006
82,Mr.,James,D.,Kramer,NULL,Refined Department Stores,adventure-works\josé1,james10@adventure-works.com,814-555-0130,01-07-2006
83,Mr.,Eric,J.,Brumfield,NULL,Requisite Part Supply,adventure-works\josé1,eric3@adventure-works.com,644-555-0114,01-07-2005
84,Ms.,Della,F.,Demott Jr,NULL,Rewarding Activities Company,adventure-works\garrett1,della0@adventure-works.com,752-555-0185,01-08-2005
88,Ms.,Pamala,M.,Kotc,NULL,Closest Bicycle Store,adventure-works\jae0,pamala0@adventure-works.com,1 (11) 500 555-0173,01-09-2007
91,Ms.,Joy,R.,Koski,NULL,Scooters and Bikes Store,adventure-works\pamela0,joy0@adventure-works.com,810-555-0198,01-09-2005
92,Ms.,Jovita,A.,Carmody,NULL,Sports Commodities,adventure-works\david8,jovita0@adventure-works.com,646-555-0137,01-09-2005
93,Mr.,Prashanth,NULL,Desai,NULL,Stationary Bikes and Stands,adventure-works\jillian0,prashanth0@adventure-works.com,138-555-0156,01-09-2005
94,Mr.,Scott,NULL,Konersmann,NULL,Specialty Sports Store,adventure-works\jillian0,scott6@adventure-works.com,556-555-0192,01-07-2006
95,Ms.,Jane,N.,Carmichael,NULL,Rural Department Store,adventure-works\shu0,jane0@adventure-works.com,716-555-0167,01-07-2007
96,Ms.,Bonnie,B.,Lepro,NULL,More Bikes!,adventure-works\linda3,bonnie2@adventure-works.com,354-555-0130,01-09-2005
97,Mr.,Eugene,NULL,Kogan,NULL,Mountain Bike Center,adventure-works\shu0,eugene2@adventure-works.com,136-555-0134,01-08-2006
100,Mr.,Kirk,T,King,NULL,Up-To-Date Sports,adventure-works\josé1,kirk2@adventure-works.com,979-555-0163,01-08-2007
101,Mr.,William,J.,Conner,NULL,Urban Sports Emporium,adventure-works\josé1,william1@adventure-works.com,383-555-0111,01-08-2006
102,Ms.,Linda,NULL,Leste,NULL,National Manufacturing,adventure-works\garrett1,linda7@adventure-works.com,493-555-0134,01-08-2005
106,Ms.,Andrea,A.,Thomsen,NULL,West Side Mart,adventure-works\jae0,andrea1@adventure-works.com,1 (11) 500 555-0120,01-09-2007
109,Mr.,Daniel,P.,Thompson,NULL,Travel Sports,adventure-works\pamela0,daniel2@adventure-works.com,247-555-0197,01-09-2007
110,Ms.,Kendra,N.,Thompson,NULL,Vintage Sport Boutique,adventure-works\david8,kendra0@adventure-works.com,464-555-0188,01-07-2007
111,Mr.,Scott,A.,Colvin,NULL,Westside Cycle Store,adventure-works\jillian0,scott1@adventure-works.com,119-555-0144,01-12-2005
112,Ms.,Elsie,L.,Lewin,NULL,Town Industries,adventure-works\jillian0,elsie0@adventure-works.com,803-555-0116,01-09-2007
113,Mr.,Donald,M.,Thompson,NULL,Trendy Department Stores,adventure-works\shu0,donald1@adventure-works.com,273-555-0111,01-09-2007
114,Mr.,John,L.,Colon,NULL,Two Wheels Cycle Store,adventure-works\linda3,john14@adventure-works.com,397-555-0144,01-09-2005
115,Mr.,George,Z.,Li,NULL,Security Racks and Locks Wholesalers,adventure-works\shu0,george3@adventure-works.com,699-555-0183,01-08-2006
118,Mr.,Yale,NULL,Li,NULL,Rapid Bikes,adventure-works\josé1,yale0@adventure-works.com,316-555-0138,01-09-2005
119,Ms.,Phyllis,A.,Thomas,NULL,Red Bicycle Company,adventure-works\josé1,phyllis2@adventure-works.com,667-555-0112,01-07-2005
120,Mr.,Pat,NULL,Coleman,NULL,Machines & Cycles Store,adventure-works\garrett1,pat2@adventure-works.com,292-555-0128,01-07-2007
124,Ms.,Yuhong,NULL,Li,NULL,Nearby Sporting Goods,adventure-works\jae0,yuhong1@adventure-works.com,1 (11) 500 555-0176,01-08-2006
127,Mr.,Joseph,M.,Lique,NULL,Front Sporting Goods,adventure-works\pamela0,joseph2@adventure-works.com,119-555-0195,01-08-2006
128,Ms.,Judy,J.,Thames,NULL,Demand Distributors,adventure-works\david8,judy3@adventure-works.com,799-555-0118,01-06-2006
129,Ms.,Connie,L.,Coffman,NULL,Discount Bicycle Specialists,adventure-works\jillian0,connie0@adventure-works.com,426-555-0181,01-11-2005
130,Mr.,Paulo,H.,Lisboa,NULL,Elite Bikes,adventure-works\jillian0,paulo0@adventure-works.com,380-555-0116,01-09-2006
131,Ms.,Vanessa,J.,Tench,NULL,Eighth Bike Store,adventure-works\shu0,vanessa0@adventure-works.com,785-555-0163,01-08-2007
132,Ms.,Teanna,M.,Cobb,NULL,Another Sporting Goods Company,adventure-works\linda3,teanna0@adventure-works.com,661-555-0168,01-08-2007
133,Mr.,Michael,NULL,Graff,NULL,Commercial Sporting Goods,adventure-works\shu0,michael16@adventure-works.com,132-555-0150,01-09-2006
136,Mr.,Derek,NULL,Graham,NULL,Wholesale Parts,adventure-works\josé1,derek0@adventure-works.com,674-555-0187,01-08-2005
137,NULL,Gytis,M,Barzdukas,NULL,Transportation Options,adventure-works\josé1,gytis0@adventure-works.com,257-555-0119,01-11-2005
138,Ms.,Jane,NULL,Clayton,NULL,South Bike Company,adventure-works\garrett1,jane1@adventure-works.com,206-555-0195,01-08-2007
142,Mr.,Jon,NULL,Grande,NULL,Riding Cycles,adventure-works\jae0,jon1@adventure-works.com,1 (11) 500 555-0114,01-09-2007
145,Mr.,Ted,NULL,Bremer,NULL,Raw Materials Inc,adventure-works\pamela0,ted0@adventure-works.com,962-555-0166,01-08-2005
146,Mr.,Richard,NULL,Bready,NULL,Latest Sports Equipment,adventure-works\david8,richard1@adventure-works.com,340-555-0131,01-07-2005
147,Ms.,Alice,NULL,Clark,NULL,Local Hardware Factory,adventure-works\jillian0,alice1@adventure-works.com,221-555-0141,01-09-2006
148,Mr.,Alan,NULL,Brewer,NULL,Lots of Bikes Storehouse,adventure-works\jillian0,alan1@adventure-works.com,494-555-0134,01-11-2005
149,Mr.,Cornelius,L.,Brandon,NULL,Initial Bike Company,adventure-works\shu0,cornelius0@adventure-works.com,229-555-0114,01-09-2006
150,Ms.,Jill,J.,Christie,NULL,Fleet Bikes,adventure-works\linda3,jill1@adventure-works.com,927-555-0198,01-08-2006
151,Mr.,Walter,J.,Brian,IV,Futuristic Bikes,adventure-works\shu0,walter0@adventure-works.com,163-555-0155,01-09-2006
154,Mr.,Carlton,M.,Carlisle,NULL,Camping and Sports Store,adventure-works\josé1,carlton0@adventure-works.com,193-555-0116,01-09-2007
155,Mr.,Joseph,N.,Castellucio,NULL,Corner Bicycle Supply,adventure-works\josé1,joseph1@adventure-works.com,180-555-0114,01-09-2005
156,Mr.,Lester,J.,Bowman,Sr.,Metal Processing Company,adventure-works\garrett1,lester0@adventure-works.com,844-555-0112,01-09-2005
160,Ms.,Brigid,F.,Cavendish,NULL,Vigorous Sports Store,adventure-works\jae0,brigid0@adventure-works.com,1 (11) 500 555-0178,01-09-2006
163,Mr.,Andrew,NULL,Cencini,NULL,Sports Merchandise,adventure-works\pamela0,andrew2@adventure-works.com,644-555-0111,01-09-2007
164,Ms.,Cindy,M.,Dodd,NULL,Suburban Cycle Shop,adventure-works\david8,cindy0@adventure-works.com,706-555-0140,01-08-2005
165,Mr.,Randall,NULL,Boseman,NULL,Third Bike Store,adventure-works\jillian0,randall0@adventure-works.com,383-555-0117,01-09-2006
166,Ms.,Stacey,M.,Cereghino,NULL,Fitness Toy Store,adventure-works\jillian0,stacey0@adventure-works.com,351-555-0131,01-07-2005
167,Mr.,Blaine,NULL,Dockter,NULL,Farthermost Bike Shop,adventure-works\shu0,blaine0@adventure-works.com,156-555-0187,01-08-2005
168,Sr.,Luis,NULL,Bonifaz,NULL,Economy Bikes Company,adventure-works\linda3,luis0@adventure-works.com,688-555-0113,01-09-2006
169,Ms.,Brenda,NULL,Diaz,NULL,Downtown Hotel,adventure-works\shu0,brenda2@adventure-works.com,147-555-0192,01-09-2005
172,Ms.,Gabriele,NULL,Dickmann,NULL,Certified Sports Supply,adventure-works\josé1,gabriele0@adventure-works.com,835-555-0116,01-09-2005
173,Mr.,Rudolph,J.,Dillon,Sr.,Sundry Sporting Goods,adventure-works\josé1,rudolph0@adventure-works.com,722-555-0169,01-09-2005
174,Mr.,Michael,L.,Bohling,NULL,Toy Manufacturing Inc,adventure-works\garrett1,michael12@adventure-works.com,838-555-0147,01-09-2005
178,Mr.,Dick,NULL,Dievendorff,NULL,Rampart Amusement Company,adventure-works\jae0,dick1@adventure-works.com,1 (11) 500 555-0193,01-08-2007
180,Ms.,Nicky,E.,Chesnut,NULL,Full-Service Bike Store,adventure-works\michael9,nicky0@adventure-works.com,264-555-0164,01-09-2005
181,Mr.,Michael,J.,Lee,NULL,Family Entertainment Center,adventure-works\pamela0,michael18@adventure-works.com,396-555-0139,01-08-2007
182,Mr.,Stanley,A.,Alan,Jr.,Another Bicycle Company,adventure-works\david8,stanley0@adventure-works.com,156-555-0126,01-09-2007
183,Mr.,Yao-Qiang,NULL,Cheng,NULL,This Area Sporting Goods,adventure-works\jillian0,yao-qiang0@adventure-works.com,344-555-0181,01-07-2006
184,Ms.,Marjorie,M.,Lee,NULL,Go-cart and Bike Specialists,adventure-works\jillian0,marjorie0@adventure-works.com,306-555-0166,01-07-2006
185,Mr.,Sandeep,NULL,Kaliyath,NULL,Weekend Bike Tours,adventure-works\shu0,sandeep1@adventure-works.com,495-555-0113,01-07-2007
186,Mr.,Pei,NULL,Chow,NULL,Thrilling Bike Tours,adventure-works\linda3,pei0@adventure-works.com,789-555-0184,01-09-2007
187,Mr.,Frank,NULL,Campbell,NULL,Trailblazing Sports,adventure-works\shu0,frank4@adventure-works.com,491-555-0132,01-09-2005
190,Mr.,Mark,NULL,Lee,NULL,Racing Partners,adventure-works\josé1,mark5@adventure-works.com,371-555-0112,01-09-2007
191,Ms.,Sandra,T.,Kitt,NULL,Non-Slip Pedal Company,adventure-works\josé1,sandra2@adventure-works.com,303-555-0117,01-08-2005
192,Mr.,Hao,NULL,Chen,NULL,Nuts and Bolts Mfg.,adventure-works\garrett1,hao1@adventure-works.com,117-555-0173,01-08-2005
196,Ms.,Jolie,NULL,Lenehan,NULL,Exhibition Showroom,adventure-works\jae0,jolie0@adventure-works.com,1 (11) 500 555-0126,01-07-2007
197,Ms.,Diane,F.,Krane,NULL,"Fabrikam Inc., West",adventure-works\michael9,diane4@adventure-works.com,224-555-0126,01-09-2006
198,Mr.,Payton,P.,Benson,NULL,Field Trip Inc,adventure-works\michael9,payton0@adventure-works.com,528-555-0183,01-11-2005
199,Mr.,Roger,NULL,Lengel,NULL,Authorized Bike Sales and Rental,adventure-works\pamela0,roger1@adventure-works.com,947-555-0143,01-08-2007
200,Ms.,Peggy,J.,Justice,NULL,Basic Bike Company,adventure-works\david8,peggy0@adventure-works.com,170-555-0189,01-07-2005
201,Ms.,Edna,J.,Benson,NULL,Unsurpassed Bikes,adventure-works\jillian0,edna0@adventure-works.com,789-555-0189,01-09-2007
202,NULL,A.,Francesca,Leonetti,NULL,Two-Seater Bikes,adventure-works\jillian0,a0@adventure-works.com,645-555-0193,01-09-2007
203,Ms.,Jean,NULL,Jordan,NULL,Separate Parts Corporation,adventure-works\shu0,jean3@adventure-works.com,207-555-0129,01-07-2005
204,Mr.,Ido,NULL,Ben-Sachar,NULL,Traction Tire Company,adventure-works\linda3,ido0@adventure-works.com,973-555-0112,01-07-2005
205,Mr.,Frank,NULL,Mart¡nez,NULL,Rally Master Company Inc,adventure-works\shu0,frank5@adventure-works.com,171-555-0147,01-07-2007
208,Mr.,Steve,NULL,Masters,NULL,Professional Cyclists,adventure-works\josé1,steve2@adventure-works.com,154-555-0115,01-08-2005
209,Mr.,Robert,E.,Jones,NULL,Purple Bicycle Company,adventure-works\josé1,robert6@adventure-works.com,595-555-0131,01-08-2005
210,Mr.,Josh,NULL,Barnhill,NULL,Gasless Cycle Shop,adventure-works\garrett1,josh0@adventure-works.com,584-555-0192,01-08-2005
214,Ms.,Jennifer,J.,Maxham,NULL,Exclusive Bicycle Mart,adventure-works\jae0,jennifer1@adventure-works.com,1 (11) 500 555-0175,01-08-2006
217,Mr.,Chris,NULL,Maxwell,NULL,City Manufacturing,adventure-works\pamela0,chris6@adventure-works.com,642-555-0187,01-11-2006
218,Mr.,David,NULL,Johnson,NULL,Sure & Reliable Sporting Goods,adventure-works\david8,david18@adventure-works.com,476-555-0139,01-08-2005
219,Mr.,Brian,NULL,Johnson,NULL,Extras Sporting Goods,adventure-works\jillian0,brian6@adventure-works.com,320-555-0134,01-03-2007
220,Mr.,Robert,NULL,Brown,NULL,Best o' Bikes,adventure-works\jillian0,robert5@adventure-works.com,575-555-0189,01-07-2007
221,Ms.,Sandra,B.,Maynard,NULL,Bike Dealers Association,adventure-works\shu0,sandra4@adventure-works.com,993-555-0179,01-07-2005
222,Mr.,Barry,NULL,Johnson,NULL,Sample Bike Store,adventure-works\linda3,barry1@adventure-works.com,858-555-0140,01-09-2005
223,Ms.,Joyce,NULL,Jarvis,NULL,Paints and Solvents Company,adventure-works\shu0,joyce0@adventure-works.com,458-555-0179,01-09-2007
226,Ms.,Vance,P.,Johns,NULL,Leisure Activities,adventure-works\josé1,vance0@adventure-works.com,103-555-0151,01-08-2006
227,Ms.,Robin,M.,McGuigan,NULL,"Health Spa, Limited",adventure-works\josé1,robin0@adventure-works.com,431-555-0153,01-07-2005
228,Ms.,Danielle,B.,Johnson,NULL,Home Town Bike Store,adventure-works\garrett1,danielle1@adventure-works.com,356-555-0190,01-09-2007
232,Mr.,David,NULL,Jaffe,NULL,Exceptional Cycle Services,adventure-works\jae0,david17@adventure-works.com,1 (11) 500 555-0140,01-07-2007
235,Ms.,Mary,NULL,Alexander,NULL,Certified Bicycle Supply,adventure-works\pamela0,mary7@adventure-works.com,344-555-0133,01-09-2006
236,Ms.,Lola,M.,McCarthy,NULL,Closeout Boutique,adventure-works\david8,lola0@adventure-works.com,173-555-0151,01-08-2006
237,Ms.,Mary,K.,Browning,NULL,Client Discount Store,adventure-works\jillian0,mary5@adventure-works.com,658-555-0146,01-08-2006
238,Ms.,Jodan,M.,Jacobson,NULL,A Great Bicycle Company,adventure-works\jillian0,jodan0@adventure-works.com,652-555-0189,01-09-2005
239,Ms.,Jane,A.,McCarty,NULL,Bicycle Merchandise Warehouse,adventure-works\shu0,jane3@adventure-works.com,529-555-0195,01-09-2006
240,Mr.,Jessie,E.,Valerio,NULL,Wire Baskets and Parts,adventure-works\linda3,jessie0@adventure-works.com,103-555-0179,01-08-2005
241,Mr.,Eric,A.,Jacobsen,NULL,Vale Riding Supplies,adventure-works\shu0,eric5@adventure-works.com,703-555-0120,01-07-2007
244,Mr.,Bronson,R.,Jacobs,NULL,Retail Discount Store,adventure-works\josé1,bronson0@adventure-works.com,697-555-0131,01-06-2008
245,Mr.,James,L.,McCoy,II,Leather Seat Factory,adventure-works\josé1,james12@adventure-works.com,191-555-0151,01-07-2006
246,Ms.,Esther,K.,Valle,NULL,Large Bike Shop,adventure-works\garrett1,esther0@adventure-works.com,481-555-0131,01-07-2006
250,Ms.,Denean,J.,Ison,NULL,Express Bike Services,adventure-works\jae0,denean0@adventure-works.com,1 (11) 500 555-0127,01-08-2007
253,Mr.,Erik,NULL,Ismert,NULL,Roving Sports,adventure-works\pamela0,erik0@adventure-works.com,116-555-0163,01-07-2006
254,Mr.,Robert,M.,Bernacchi,NULL,Safe Cycles Shop,adventure-works\david8,robert4@adventure-works.com,449-555-0176,01-09-2006
255,Mr.,Sunil,NULL,Uppal,NULL,Swift Cycles,adventure-works\jillian0,sunil0@adventure-works.com,184-555-0187,01-08-2005
256,Mr.,Richard,L.,Irwin,NULL,Rental Bikes,adventure-works\jillian0,richard4@adventure-works.com,367-555-0124,01-08-2005
257,Mr.,Matthias,NULL,Berndt,NULL,Number 1 Supply,adventure-works\shu0,matthias1@adventure-works.com,384-555-0169,01-08-2006
258,Mr.,Sairaj,NULL,Uddin,NULL,Quantity Discounts,adventure-works\linda3,sairaj1@adventure-works.com,767-555-0193,01-08-2006
259,Mr.,Lucio,NULL,Iallo,NULL,Highway Bike Shop,adventure-works\shu0,lucio0@adventure-works.com,199-555-0135,01-08-2005
262,Ms.,Beth,NULL,Inghram,NULL,General Industries,adventure-works\josé1,beth0@adventure-works.com,718-555-0152,01-09-2006
263,Mr.,Timothy,B.,Burnett,Jr.,Farthest Bike Store,adventure-works\josé1,timothy0@adventure-works.com,251-555-0172,01-08-2007
264,Ms.,Phyllis,B.,Tuffield,NULL,Fasteners & Bolts Outlet,adventure-works\garrett1,phyllis3@adventure-works.com,277-555-0182,01-08-2007
268,Mr.,Richard,A.,Byham,NULL,Channel Outlet,adventure-works\jae0,richard2@adventure-works.com,1 (11) 500 555-0138,01-09-2007
271,Mr.,Jared,L.,Bustamante,NULL,Alternative Vehicles,adventure-works\pamela0,jared0@adventure-works.com,164-555-0147,01-11-2005
272,Mr.,Henry,L.,Campen,NULL,Metro Cycle Shop,adventure-works\david8,henry0@adventure-works.com,635-555-0126,01-09-2005
273,Ms.,Christie,J.,Trujillo,NULL,A Typical Bike Shop,adventure-works\jillian0,christie0@adventure-works.com,686-555-0180,01-09-2005
274,Ms.,Janet,J.,Gilliat,NULL,Active Systems,adventure-works\jillian0,janet2@adventure-works.com,521-555-0183,01-07-2006
275,Mr.,Chris,NULL,Cannon,NULL,Outdoor Sporting Goods,adventure-works\shu0,chris5@adventure-works.com,118-555-0131,01-07-2007
276,Mr.,Michael John,R.,Troyer,NULL,Thrifty Parts and Sales,adventure-works\linda3,michaeljohn0@adventure-works.com,308-555-0175,01-09-2007
277,Mr.,Guy,NULL,Gilbert,NULL,The Bicycle Accessories Company,adventure-works\shu0,guy0@adventure-works.com,583-555-0198,01-09-2006
280,Mr.,Frances,J.,Giglio,NULL,Standard Bikes,adventure-works\josé1,frances1@adventure-works.com,692-555-0136,01-08-2006
281,Ms.,Suzana De Abreu,A.,Canuto,NULL,Petroleum Products Distributors,adventure-works\josé1,suzanadeabreu0@adventure-works.com,990-555-0141,01-09-2007
282,Mr.,Billy,J.,Trent,NULL,Quick Parts and Service,adventure-works\garrett1,billy0@adventure-works.com,882-555-0115,01-09-2007
286,Mr.,Leo,NULL,Giakoumakis,NULL,Number One Bike Co.,adventure-works\jae0,leo0@adventure-works.com,1 (11) 500 555-0169,01-07-2006
287,Mr.,Grant,NULL,Culbertson,NULL,Handy Bike Services,adventure-works\michael9,grant1@adventure-works.com,859-555-0173,01-08-2005
288,Mr.,Robert,L.,Barker,NULL,Kickstand Sellers,adventure-works\michael9,robert3@adventure-works.com,241-555-0112,01-12-2006
289,Ms.,Gabriel,L.,Bockenkamp,NULL,Moderately-Priced Bikes Store,adventure-works\pamela0,gabriel0@adventure-works.com,763-555-0145,01-08-2005
290,Mr.,Scott,NULL,Culp,NULL,Friendly Bike Shop,adventure-works\david8,scott3@adventure-works.com,119-555-0167,01-07-2006
291,Mr.,Wayne,N.,Banack,NULL,Grand Bicycle Stores,adventure-works\jillian0,wayne0@adventure-works.com,640-555-0189,01-09-2006
292,Mr.,Michael,Greg,Blythe,NULL,Grease and Oil Products Company,adventure-works\jillian0,michael11@adventure-works.com,126-555-0172,01-07-2005
293,Mr.,Conor,NULL,Cunningham,NULL,Fashionable Bikes and Accessories,adventure-works\shu0,conor0@adventure-works.com,115-555-0113,01-09-2005
294,Mr.,Alberto,F.,Baltazar,NULL,Flawless Bike Shop,adventure-works\linda3,alberto0@adventure-works.com,780-555-0114,01-09-2005
295,Mr.,Joseph,P.,Mitzner,Jr.,Engineered Bike Systems,adventure-works\shu0,joseph4@adventure-works.com,129-555-0164,01-09-2007
298,Mr.,Robert,NULL,Mitosinka,NULL,City Cycling,adventure-works\josé1,robert10@adventure-works.com,239-555-0198,01-09-2007
299,Mr.,Thierry,NULL,D'Hers,NULL,Citywide Service and Repair,adventure-works\josé1,thierry1@adventure-works.com,680-555-0192,01-07-2006
300,Mr.,Daniel,NULL,Blanco,NULL,Nice Bikes,adventure-works\garrett1,daniel0@adventure-works.com,221-555-0167,01-09-2006
304,Ms.,Linda,NULL,Mitchell,NULL,Essential Bike Works,adventure-works\jae0,linda9@adventure-works.com,1 (11) 500 555-0182,01-09-2007
